key,repo,name
php:NoSonar,php,"Track uses of ""NOSONAR"" comments"
php:S1066,php,"Mergeable ""if"" statements should be combined"
php:S1067,php,Expressions should not be too complex
php:S1068,php,"Unused ""private"" fields should be removed"
php:S1110,php,Redundant pairs of parentheses should be removed
php:S1116,php,Empty statements should be removed
php:S1117,php,Local variables should not have the same name as class fields
php:S1121,php,Assignments should not be made from within sub-expressions
php:S1124,php,Modifiers should be declared in the correct order
php:S1125,php,Boolean literals should not be redundant
php:S1126,php,"Return of boolean expressions should not be wrapped into an ""if-then-else"" statement"
php:S1131,php,Lines should not end with trailing whitespaces
php:S1134,php,"Track uses of ""FIXME"" tags"
php:S1135,php,"Track uses of ""TODO"" tags"
php:S1142,php,Functions should not contain too many return statements
php:S1144,php,"Unused ""private"" methods should be removed"
php:S1145,php,"Useless ""if(true) {...}"" and ""if(false){...}"" blocks should be removed"
php:S1172,php,Unused function parameters should be removed
php:S1185,php,Overriding methods should do more than simply call the same method in the super class
php:S1186,php,Methods should not be empty
php:S1264,php,"A ""while"" loop should be used instead of a ""for"" loop"
php:S1479,php,"""switch"" statements should not have too many ""case"" clauses"
php:S1481,php,Unused local variables should be removed
php:S1488,php,Local variables should not be declared and then immediately returned or thrown
php:S1599,php,Variable variables should not be used
php:S1808,php,Source code should comply with formatting standards
php:S1820,php,Classes should not have too many fields
php:S1821,php,"""switch"" statements should not be nested"
php:S1854,php,Unused assignments should be removed
php:S1862,php,"Related ""if/else if"" statements and ""cases"" in a ""switch"" should not have the same condition"
php:S1940,php,Boolean checks should not be inverted
php:S2036,php,Files that define symbols should not cause side-effects
php:S2037,php,"Static members should be referenced with ""static::"""
php:S2038,php,Colors should be defined in upper case
php:S2115,php,A secure password should be used when connecting to a database
php:S2201,php,Return values from functions without side effects should not be ignored
php:S2234,php,Parameters should be passed in the correct order
php:S2260,php,PHP parser failure
php:S2277,php,Cryptographic RSA algorithms should always incorporate OAEP (Optimal Asymmetric Encryption Padding)
php:S2278,php,Neither DES (Data Encryption Standard) nor DESede (3DES) should be used
php:S2681,php,Multiline blocks should be enclosed in curly braces
php:S2699,php,Tests should include assertions
php:S2701,php,Literal boolean values and nulls should not be used in equality assertions
php:S2830,php,Class constructors should not create other objects
php:S3358,php,Ternary operators should not be nested
php:S3415,php,Assertion arguments should be passed in the correct order
php:S3776,php,Cognitive Complexity of functions should not be too high
php:S4502,php,Disabling CSRF protections is security-sensitive
php:S4507,php,Delivering code in production with debug features activated is security-sensitive
php:S4508,php,Deserializing objects from an untrusted source is security-sensitive
php:S4524,php,"""default"" clauses should be first or last"
php:S5042,php,Expanding archive files without controlling resource consumption is security-sensitive
php:S5542,php,Encryption algorithms should be used with secure mode and padding scheme
php:S5547,php,Cipher algorithms should be robust
php:S5713,php,"A subclass should not be in the same ""catch"" clause as a parent class"
php:S5779,php,Assertion failure exceptions should not be ignored
php:S5783,php,Only one method invocation is expected when testing exceptions
php:S5785,php,PHPUnit assertTrue/assertFalse should be simplified to the corresponding dedicated assertion
php:S5842,php,Repeated patterns in regular expressions should not match the empty string
php:S5843,php,Regular expressions should not be too complicated
php:S5850,php,Alternatives in regular expressions should be grouped when used with anchors
php:S5855,php,Regex alternatives should not be redundant
php:S5856,php,Regular expressions should be syntactically valid
php:S5857,php,Character classes should be preferred over reluctant quantifiers in regular expressions
php:S5863,php,Assertions should not compare an object to itself
php:S5867,php,Unicode-aware versions of character classes should be preferred
php:S5868,php,Unicode Grapheme Clusters should be avoided inside regex character classes
php:S5869,php,Character classes in regular expressions should not contain the same character twice
php:S5899,php,Test methods should be discoverable
php:S6001,php,Back references in regular expressions should only refer to capturing groups that are matched before the reference
php:S6002,php,Regex lookahead assertions should not be contradictory
php:S6019,php,Reluctant quantifiers in regular expressions should be followed by an expression that can't match the empty string
php:S6035,php,Single-character alternations in regular expressions should be replaced with character classes
php:S6393,php,Regular expressions should have valid delimiters
php:S6395,php,Non-capturing groups without quantifier should not be used
php:S6396,php,Superfluous curly brace quantifiers should be avoided
php:S6397,php,Character classes in regular expressions should not contain only one character
php:S881,php,Increment (++) and decrement (--) operators should not be used in a method call or mixed with other operators in an expression
php:S103,php,Lines should not be too long
php:S104,php,Files should not have too many lines of code
php:S1045,php,"All ""catch"" blocks should be able to catch exceptions"
php:S105,php,Tabulation characters should not be used
php:S107,php,Functions should not have too many parameters
php:S108,php,Nested blocks of code should not be left empty
php:S110,php,Inheritance tree of classes should not be too deep
php:S112,php,"Generic exceptions ErrorException, RuntimeException and Exception should not be thrown"
php:S1151,php,"""switch case"" clauses should not have too many lines of code"
php:S1155,php,"""empty()"" should be used to test for emptiness"
php:S125,php,Sections of code should not be commented out
php:S126,php,"""if ... else if"" constructs should end with ""else"" clauses"
php:S127,php,"""for"" loop stop conditions should be invariant"
php:S128,php,"Switch cases should end with an unconditional ""break"" statement"
php:S131,php,"""switch"" statements should have ""default"" clauses"
php:S134,php,"Control flow statements ""if"", ""for"", ""while"", ""switch"" and ""try"" should not be nested too deeply"
php:S138,php,Functions should not have too many lines of code
php:S139,php,Comments should not be located at the end of lines of code
php:S1600,php,Deprecated predefined variables should not be used
php:S1603,php,Deprecated constructor declarations should not be used
php:S1605,php,"""__construct"" functions should not make PHP 4-style calls to parent constructors"
php:S1607,php,A reason should be provided when skipping a test
php:S1656,php,Variables should not be self-assigned
php:S1779,php,Only LF character (Unix-like) should be used to end lines
php:S1848,php,Objects should not be created to be dropped immediately without being used
php:S2000,php,"Files should not contain characters before ""<?php"""
php:S2001,php,Deprecated features should not be used
php:S2002,php,Errors should not be silenced
php:S2003,php,"""require_once"" and ""include_once"" should be used instead of ""require"" and ""include"""
php:S2004,php,Functions should not be nested too deeply
php:S2005,php,String literals should not be concatenated
php:S2007,php,Functions and variables should not be defined outside of classes
php:S2010,php,"""&&"" and ""||"" should be used"
php:S2011,php,"""global"" should not be used"
php:S2014,php,"""$this"" should not be used in a static context"
php:S2068,php,Hard-coded credentials are security-sensitive
php:S2123,php,Values should not be uselessly incremented
php:S2187,php,TestCases should contain tests
php:S2245,php,Using pseudorandom number generators (PRNGs) is security-sensitive
php:S2251,php,"A ""for"" loop update clause should move the counter in the right direction"
php:S2255,php,Writing cookies is security-sensitive
php:S2918,php,Configuration should not be changed dynamically
php:S3330,php,"Creating cookies without the ""HttpOnly"" flag is security-sensitive"
php:S3331,php,"Creating cookies with broadly defined ""domain"" flags is security-sensitive"
php:S3332,php,Session-management cookies should not be persistent
php:S3333,php,"""open_basedir"" should limit file access"
php:S3334,php,"""allow_url_fopen"" and ""allow_url_include"" should be disabled"
php:S3335,php,"""cgi.force_redirect"" should be enabled"
php:S3336,php,"""session.use_trans_sid"" should not be enabled"
php:S3337,php,"""enable_dl"" should be disabled"
php:S3338,php,"""file_uploads"" should be disabled"
php:S3360,php,"Test class names should end with ""Test"""
php:S3699,php,The output of functions that don't return anything should not be used
php:S3801,php,"Functions should use ""return"" consistently"
php:S3923,php,All branches in a conditional structure should not have exactly the same implementation
php:S4423,php,Weak SSL/TLS protocols should not be used
php:S4426,php,Cryptographic keys should be robust
php:S4433,php,LDAP connections should be authenticated
php:S4784,php,Using regular expressions is security-sensitive
php:S4787,php,Encrypting data is security-sensitive
php:S4790,php,Using weak hashing algorithms is security-sensitive
php:S4792,php,Configuring loggers is security-sensitive
php:S5332,php,Using clear-text protocols is security-sensitive
php:S5527,php,Server hostnames should be verified during SSL/TLS connections
php:S5632,php,Raised Exceptions must derive from Throwable
php:S5693,php,Allowing requests with excessive content length is security-sensitive
php:S5876,php,A new session should be created during user authentication
php:S5994,php,Regex patterns following a possessive quantifier should not always fail
php:S5996,php,Regex boundaries should not be used in a way that can never be matched
php:S6600,php,Unnecessary parentheses should not be used for constructs
php:S836,php,Variables should be initialized before use
php:S905,php,Non-empty statements should change control flow or have at least one side-effect
php:S907,php,"""goto"" statement should not be used"
php:S930,php,The number of arguments passed to a function should match the number of parameters
php:S100,php,Function names should comply with a naming convention
php:S101,php,Class names should comply with a naming convention
php:S1075,php,URIs should not be hardcoded
php:S1105,php,An open curly brace should be located at the end of a line
php:S1106,php,An open curly brace should be located at the beginning of a line
php:S1109,php,A close curly brace should be located at the beginning of a line
php:S113,php,Files should end with a newline
php:S114,php,Interface names should comply with a naming convention
php:S115,php,Constant names should comply with a naming convention
php:S116,php,Field names should comply with a naming convention
php:S117,php,Local variable and function parameter names should comply with a naming convention
